id,title,company,location,salary,type,experience,education,skills,description
49,Bioinformatics Engineer,Illumina,San Diego CA,$115k - $165k,Full-time,3-5 years,Master,python r bioinformatics genomics linux statistics data pipelines machine learning,Build genomic analysis pipelines and scientific data tooling
50,Robotics Software Engineer,Boston Dynamics,Boston MA,$130k - $185k,Full-time,3-5 years,Master,python c++ ros robotics computer vision control systems linux simulation,Develop robotic perception planning and control software
51,AR VR Developer,Meta,Menlo Park CA,$125k - $180k,Full-time,3-5 years,Bachelor,unity c# unreal engine 3d graphics ar vr spatial computing shaders,Build immersive augmented and virtual reality experiences
52,Cloud Security Engineer,Zscaler,Remote,$125k - $175k,Remote,3-5 years,Bachelor,aws azure cloud security iam terraform network security compliance python,Secure cloud infrastructure and automate governance controls
53,Network Engineer,Cisco,San Jose CA,$90k - $135k,Full-time,1-3 years,Bachelor,networking tcp ip routing switching firewalls linux security automation python,Design and troubleshoot enterprise networking systems
54,Linux Systems Administrator,Red Hat,Raleigh NC,$85k - $125k,Full-time,1-3 years,Bachelor,linux bash ansible networking monitoring security virtualization troubleshooting,Administer Linux infrastructure and automate routine operations
55,Sales Engineer,Databricks,Remote,$110k - $170k,Remote,3-5 years,Bachelor,sql python cloud data engineering communication demos solution architecture analytics,Help customers understand and adopt data and AI platforms
56,Customer Success Engineer,Okta,Remote,$85k - $125k,Remote,1-3 years,Bachelor,api troubleshooting identity access management javascript communication documentation support,Support technical customers with identity integrations and product adoption
57,Junior Frontend Developer,Zoho,Chennai India,$18k - $35k,Full-time,Fresher,Bachelor,html css javascript react git responsive design basics frontend web development,Build user interfaces while learning production frontend engineering practices
58,Frontend Intern,Microsoft,Redmond WA,$25k - $45k,Internship,Fresher,Bachelor,html css javascript react git accessibility frontend basics testing,Contribute to frontend features with mentorship and learning support
59,Data Science Intern,IBM,Bangalore India,$20k - $35k,Internship,Fresher,Bachelor,python sql pandas numpy statistics machine learning jupyter data visualization,Support data science experiments dashboards and model evaluation
60,Cloud Support Associate,AWS,Hyderabad India,$30k - $55k,Full-time,Fresher,Bachelor,linux networking aws cloud troubleshooting python customer support documentation,Help customers solve cloud infrastructure and networking issues
